Industry,Company_Size,Website_Quality,LinkedIn_Activity,Email_Available,Location,Estimated_Revenue,Number_of_Employees,Previous_Response,Meeting_Status,Lead_Quality
Healthcare,Small,Good,High,No,Lahore,1012000.0,31,Neutral,Scheduled,Medium
Education,Medium,Good,Medium,Yes,Rawalpindi,340000.0,62,Positive,Not Contacted,Medium
Education,Medium,Poor,Medium,Yes,Quetta,4183000.0,43,No Response,Scheduled,Low
Technology,Small,Good,Medium,No,Multan,163000.0,56,Positive,Completed,High
Manufacturing,Small,Excellent,High,Yes,Peshawar,1908000.0,23,No Response,Completed,High
Technology,Large,Good,Medium,No,Lahore,3707000.0,472,Positive,Completed,High
Education,Medium,Average,Medium,Yes,Islamabad,4515000.0,53,No Response,Scheduled,Medium
Manufacturing,Small,Excellent,Low,Yes,Rawalpindi,354000.0,121,Positive,Not Scheduled,High
Marketing,Small,Average,High,Yes,Rawalpindi,639000.0,174,,Scheduled,High
Technology,Small,Good,Medium,Yes,Lahore,2298000.0,45,Neutral,Completed,Medium
Education,Medium,Good,Low,Yes,Lahore,790000.0,38,Neutral,Not Contacted,Low
Technology,Small,Excellent,Medium,Yes,Multan,1223000.0,117,No Response,Not Contacted,Medium
Education,Medium,Poor,Low,Yes,Lahore,744000.0,51,Positive,Scheduled,Medium
Finance,Medium,Excellent,Medium,Yes,Quetta,408000.0,55,Negative,Scheduled,Medium
Retail,Small,Good,Medium,Yes,Peshawar,2353000.0,173,No Response,Not Scheduled,Low
Healthcare,Small,Good,Low,Yes,Quetta,500000.0,30,No Response,Scheduled,Low
Retail,Medium,Good,Low,Yes,Multan,,97,Neutral,Not Contacted,Medium
Manufacturing,Large,Good,Low,Yes,Karachi,331000.0,15,Positive,Not Scheduled,Medium
Education,Small,Excellent,Low,No,Faisalabad,1154000.0,353,Neutral,Not Contacted,Low
Retail,Small,Good,High,Yes,Peshawar,1789000.0,135,Positive,Not Scheduled,High
Real Estate,Large,Poor,Medium,Yes,Karachi,,46,Positive,Not Scheduled,Medium
Technology,Small,Good,Medium,Yes,Peshawar,705000.0,33,No Response,Scheduled,Medium
Education,Medium,Good,Low,Yes,Multan,556000.0,99,Neutral,Scheduled,Medium
Real Estate,Small,Good,High,Yes,Islamabad,,158,Neutral,Scheduled,High
Finance,Small,Excellent,High,No,Multan,7703000.0,8,Neutral,Not Scheduled,Low
Finance,Medium,Poor,,Yes,Karachi,5381000.0,279,Positive,Completed,High
Finance,Small,Excellent,High,Yes,Rawalpindi,523000.0,217,Positive,Not Contacted,Medium
Finance,Large,Poor,Medium,Yes,Quetta,1741000.0,458,No Response,Not Contacted,Low
Technology,Small,Good,Medium,Yes,Lahore,5501000.0,66,Neutral,Scheduled,Medium
Technology,Small,Average,Medium,Yes,Karachi,5011000.0,111,No Response,Scheduled,Low
Technology,Small,Average,Medium,Yes,Peshawar,2204000.0,55,Positive,Not Contacted,Low
Technology,Medium,Excellent,Medium,Yes,Multan,1279000.0,69,Positive,Not Contacted,High
Healthcare,Small,Good,Medium,No,Lahore,4856000.0,185,No Response,Not Contacted,Low
Education,Medium,Excellent,High,No,Quetta,1925000.0,58,No Response,Scheduled,Medium
Finance,Large,Excellent,Medium,Yes,Lahore,1839000.0,26,Neutral,Not Contacted,High
Healthcare,Large,Good,Medium,Yes,Multan,366000.0,21,Positive,Not Contacted,High
Technology,Small,Poor,High,Yes,Rawalpindi,453000.0,107,Neutral,Not Scheduled,Low
Retail,Small,Poor,High,No,Multan,7601000.0,69,Positive,Not Scheduled,Low
Manufacturing,Large,Excellent,Medium,Yes,Multan,1147000.0,59,No Response,Scheduled,High
Manufacturing,Medium,Excellent,Medium,Yes,Multan,981000.0,61,Positive,Scheduled,High
Marketing,Large,Excellent,High,No,Lahore,5094000.0,64,No Response,Not Scheduled,Medium
Technology,Small,Excellent,Medium,Yes,Islamabad,1298000.0,14,Positive,Scheduled,High
Real Estate,Small,Poor,Medium,Yes,Rawalpindi,1327000.0,61,Positive,Completed,High
Marketing,Large,Good,High,Yes,Karachi,585000.0,44,Neutral,Not Scheduled,High
Healthcare,Small,Poor,Low,Yes,Rawalpindi,3320000.0,206,No Response,Not Scheduled,Low
Technology,Small,Average,Medium,Yes,Rawalpindi,133000.0,22,No Response,Not Contacted,Low
Marketing,Large,Average,High,Yes,Karachi,368000.0,134,No Response,Not Contacted,Medium
Finance,Medium,Excellent,Medium,Yes,Faisalabad,7851000.0,67,No Response,Not Contacted,Medium
Finance,Small,Poor,Medium,Yes,Karachi,3219000.0,48,No Response,Not Scheduled,Low
Marketing,Small,Good,Medium,Yes,Islamabad,1530000.0,27,No Response,Completed,Low
Marketing,Small,Good,Medium,No,Multan,739000.0,94,Negative,Scheduled,Low
Technology,Large,Good,High,Yes,Multan,1662000.0,163,Neutral,Scheduled,High
Retail,Medium,,High,Yes,Faisalabad,2070000.0,217,,Not Scheduled,Medium
Finance,Medium,Excellent,Medium,Yes,Quetta,3578000.0,82,Neutral,Scheduled,High
Finance,Small,Average,Medium,No,Peshawar,1917000.0,113,Neutral,Scheduled,Low
Manufacturing,Medium,Average,Medium,Yes,Quetta,2697000.0,40,Positive,Not Scheduled,High
Retail,Small,Excellent,Low,Yes,Multan,2748000.0,127,Positive,Completed,High
Healthcare,Large,Average,Medium,Yes,Quetta,1933000.0,159,Positive,Not Scheduled,High
Manufacturing,Small,Average,Medium,Yes,Rawalpindi,3207000.0,83,No Response,Not Contacted,Low
Technology,Medium,Good,Medium,Yes,Faisalabad,6520000.0,591,Neutral,Not Contacted,Medium
Retail,Small,Poor,Low,Yes,Peshawar,1079000.0,258,Negative,Not Scheduled,Low
Technology,Small,Excellent,Medium,Yes,Multan,1544000.0,250,No Response,Completed,High
Technology,Medium,Good,Medium,Yes,Faisalabad,639000.0,36,No Response,Completed,Medium
Manufacturing,Large,Good,Medium,Yes,Quetta,4375000.0,159,No Response,Scheduled,High
Manufacturing,Small,Average,Low,Yes,Faisalabad,6011000.0,83,Positive,Not Contacted,Medium
Real Estate,Medium,Good,,Yes,Islamabad,3471000.0,96,Neutral,Scheduled,Medium
Marketing,Large,Average,High,Yes,Rawalpindi,2978000.0,241,Neutral,Not Scheduled,Medium
Technology,Large,Average,Medium,Yes,Multan,548000.0,42,Neutral,Scheduled,Medium
Manufacturing,Small,Good,High,Yes,Faisalabad,834000.0,56,Positive,Not Scheduled,High
Marketing,Large,Average,Low,Yes,Karachi,284000.0,574,Positive,Completed,High
Real Estate,Medium,Good,Low,Yes,Multan,4323000.0,75,Positive,Not Scheduled,Medium
Retail,Small,Good,Low,Yes,Quetta,869000.0,867,No Response,Scheduled,Medium
Healthcare,Large,Good,Medium,No,Quetta,4947000.0,10,Negative,Scheduled,Medium
Finance,Medium,Excellent,Medium,No,Faisalabad,1207000.0,125,Positive,Scheduled,High
Education,Small,Excellent,Medium,Yes,Faisalabad,1184000.0,147,No Response,Completed,High
Technology,Small,Average,Medium,Yes,Multan,1347000.0,32,Negative,Scheduled,Low
Technology,Medium,Good,Medium,Yes,Peshawar,4714000.0,36,Positive,Not Scheduled,High
Healthcare,Small,Good,High,Yes,Islamabad,4820000.0,15,No Response,Not Scheduled,Low
Manufacturing,Small,Poor,Medium,Yes,Islamabad,7820000.0,163,No Response,Scheduled,Low
Finance,Medium,Good,Medium,Yes,Peshawar,,175,Positive,Not Contacted,High
Manufacturing,Small,Average,Medium,Yes,Faisalabad,1311000.0,319,No Response,Completed,Medium
Healthcare,Medium,Good,Low,Yes,Peshawar,13483000.0,323,No Response,Not Scheduled,Medium
Finance,Large,Average,Low,Yes,Peshawar,8081000.0,83,Negative,Scheduled,Medium
Healthcare,Medium,Poor,Medium,Yes,Rawalpindi,1511000.0,193,Negative,Scheduled,Low
Real Estate,Medium,Good,Low,Yes,Islamabad,2272000.0,356,No Response,Scheduled,Medium
Manufacturing,Small,Average,Low,Yes,Multan,629000.0,288,Positive,Not Scheduled,Medium
Finance,Small,Good,Medium,Yes,Peshawar,1019000.0,70,Positive,Not Contacted,Medium
Education,Small,Good,Medium,Yes,Peshawar,1951000.0,481,Neutral,Not Contacted,Medium
Finance,Medium,Average,High,Yes,Peshawar,1078000.0,34,Positive,Not Scheduled,High
Marketing,Medium,Excellent,Low,Yes,Rawalpindi,3409000.0,97,Negative,Scheduled,Medium
Real Estate,Medium,Good,Low,No,Faisalabad,2545000.0,222,No Response,Not Contacted,Low
Retail,Small,Average,Medium,Yes,Faisalabad,2219000.0,36,Positive,Not Scheduled,Medium
Technology,Large,Good,Low,Yes,Karachi,7673000.0,250,No Response,Completed,High
Technology,Medium,Average,Low,Yes,Lahore,365000.0,33,No Response,Not Scheduled,Low
Real Estate,Large,Good,Medium,No,Peshawar,2028000.0,233,Positive,Not Scheduled,Medium
Manufacturing,Small,Average,Low,Yes,Quetta,416000.0,27,Neutral,Not Contacted,Low
Finance,Large,Good,High,Yes,Quetta,727000.0,117,Positive,Scheduled,High
Healthcare,Medium,,High,No,Multan,1690000.0,61,Positive,Not Scheduled,High
Marketing,Large,Good,Low,Yes,Multan,411000.0,63,Neutral,Scheduled,Medium
Marketing,Small,Average,High,Yes,Quetta,4046000.0,103,Positive,Not Scheduled,Medium
Marketing,Medium,Good,Medium,Yes,Rawalpindi,1311000.0,414,Neutral,Scheduled,High
Finance,Large,Average,Medium,Yes,Peshawar,3757000.0,156,Positive,Not Contacted,High
Technology,Small,Excellent,Medium,Yes,Karachi,1574000.0,39,No Response,Scheduled,Medium
Real Estate,Medium,Average,High,Yes,Quetta,2058000.0,649,No Response,Not Scheduled,Medium
Healthcare,Medium,Excellent,Medium,No,Rawalpindi,2846000.0,209,Positive,Not Contacted,Medium
Retail,Small,Good,Low,Yes,Islamabad,1582000.0,65,No Response,Not Contacted,Low
Finance,Small,Poor,Medium,Yes,Faisalabad,1839000.0,28,No Response,Scheduled,Low
Real Estate,Medium,Good,Low,Yes,Peshawar,3215000.0,186,Neutral,Scheduled,Medium
Technology,Small,Excellent,,Yes,Karachi,506000.0,125,Negative,Not Scheduled,Low
Real Estate,Large,Average,Medium,Yes,Multan,1673000.0,119,Negative,Not Contacted,Low
Finance,Small,Poor,Medium,Yes,Islamabad,1611000.0,29,Negative,Scheduled,Low
Manufacturing,Small,,Medium,Yes,Quetta,1109000.0,89,Positive,Not Scheduled,High
Manufacturing,Large,Excellent,High,No,Faisalabad,2687000.0,118,Positive,Scheduled,High
Education,Small,Good,Medium,Yes,Islamabad,332000.0,32,Positive,Scheduled,High
Marketing,Large,Good,Low,Yes,Faisalabad,2434000.0,67,Neutral,Scheduled,High
Finance,Small,Average,High,Yes,Karachi,4776000.0,15,Positive,Not Scheduled,Medium
Manufacturing,Large,Average,Low,Yes,Rawalpindi,758000.0,29,Positive,Not Scheduled,Medium
Marketing,Medium,Good,High,Yes,Lahore,743000.0,46,Neutral,Not Scheduled,Medium
Manufacturing,Medium,Good,Medium,No,Quetta,497000.0,45,Neutral,Completed,Medium
Healthcare,Small,Good,Medium,Yes,Quetta,919000.0,28,Neutral,Not Contacted,Low
Technology,Large,Excellent,Medium,Yes,Multan,2751000.0,276,Neutral,Completed,High
Healthcare,Small,Good,High,No,Peshawar,1342000.0,40,No Response,Completed,Low
Technology,Medium,Good,Low,Yes,Karachi,5570000.0,31,Negative,Scheduled,Medium
Healthcare,Large,Good,Low,Yes,Peshawar,1525000.0,191,No Response,Not Scheduled,Low
Finance,Small,Poor,High,Yes,Multan,104000.0,72,No Response,Not Contacted,Low
Healthcare,Small,Average,High,Yes,Rawalpindi,2663000.0,80,No Response,Completed,Medium
Manufacturing,Medium,Average,High,Yes,Multan,3793000.0,31,No Response,Not Contacted,Medium
Manufacturing,Small,Good,Medium,Yes,Multan,1823000.0,611,No Response,Not Scheduled,Low
Finance,Medium,Average,High,Yes,Lahore,1854000.0,56,No Response,Completed,Medium
Technology,Large,Good,High,Yes,Rawalpindi,12585000.0,81,Positive,Not Scheduled,High
Technology,Small,Excellent,Medium,Yes,Multan,2681000.0,40,Positive,Scheduled,High
Education,Large,Average,Medium,Yes,Rawalpindi,,50,Positive,Not Scheduled,High
Real Estate,Large,Average,High,Yes,Rawalpindi,302000.0,26,Neutral,Scheduled,Medium
Finance,Small,Good,Low,Yes,Karachi,4852000.0,187,Negative,Not Contacted,Low
Healthcare,Large,Excellent,Low,Yes,Multan,2208000.0,119,Positive,Not Scheduled,High
Marketing,Small,Excellent,Medium,Yes,Islamabad,2888000.0,27,Positive,Not Contacted,High
Real Estate,Medium,Excellent,High,Yes,Rawalpindi,2036000.0,122,Positive,Not Contacted,High
Finance,Small,Good,Medium,Yes,Karachi,3920000.0,143,Neutral,Scheduled,Medium
Healthcare,Small,Good,Low,Yes,Rawalpindi,6296000.0,95,Neutral,Not Scheduled,Low
Education,Small,Excellent,Medium,Yes,Quetta,3461000.0,59,Positive,Not Scheduled,High
Healthcare,Small,Good,Medium,Yes,Peshawar,13300000.0,63,Negative,Completed,Medium
Manufacturing,Small,Excellent,Medium,Yes,Multan,1448000.0,85,No Response,Not Scheduled,Low
Finance,Small,Good,Medium,Yes,Peshawar,568000.0,57,Positive,Not Scheduled,Medium
Technology,Medium,Good,Low,Yes,Rawalpindi,3015000.0,182,Neutral,Not Contacted,Low
Finance,Medium,Average,Medium,Yes,Peshawar,2554000.0,93,No Response,Scheduled,Medium
Technology,Medium,Average,Low,Yes,Lahore,5200000.0,18,No Response,Not Scheduled,Low
Retail,Medium,Excellent,Low,Yes,Islamabad,1377000.0,77,Positive,Not Scheduled,High
Finance,Medium,Average,Low,Yes,Multan,1772000.0,91,Neutral,Not Scheduled,Low
Technology,Small,Excellent,Medium,No,Karachi,1335000.0,76,Positive,Not Scheduled,Medium
Marketing,Small,Average,Low,Yes,Faisalabad,1695000.0,41,No Response,Not Scheduled,Low
Finance,Large,Excellent,High,Yes,Islamabad,,79,Neutral,Not Scheduled,High
Education,Medium,Average,High,Yes,Peshawar,8515000.0,338,Negative,Completed,Medium
Finance,Large,Good,Low,Yes,Faisalabad,10134000.0,81,No Response,Not Scheduled,Low
Finance,Medium,Good,High,Yes,Karachi,1237000.0,44,Positive,Not Contacted,High
Retail,Medium,Average,Medium,Yes,Quetta,4838000.0,296,Negative,Not Scheduled,Low
Technology,Medium,Excellent,Medium,Yes,Faisalabad,382000.0,52,Positive,Scheduled,High
Healthcare,Medium,Excellent,Medium,Yes,Islamabad,750000.0,185,Positive,Scheduled,High
Healthcare,Large,Average,Medium,Yes,Rawalpindi,4898000.0,117,Positive,Scheduled,High
Real Estate,Small,Average,High,Yes,Lahore,3196000.0,67,Neutral,Not Scheduled,Low
Education,Large,Good,Medium,Yes,Karachi,7981000.0,43,Positive,Not Scheduled,High
Real Estate,Small,Poor,High,Yes,Peshawar,589000.0,267,Positive,Not Scheduled,Medium
Technology,Small,Excellent,Low,Yes,Faisalabad,3285000.0,366,No Response,Scheduled,Medium
Real Estate,Medium,Excellent,High,No,Multan,469000.0,14,No Response,Not Scheduled,Low
Finance,Medium,Good,Low,Yes,Peshawar,1116000.0,78,Positive,Scheduled,High
Healthcare,Large,Excellent,Medium,Yes,Lahore,1498000.0,42,Neutral,Not Scheduled,High
Technology,Small,Average,High,Yes,Faisalabad,656000.0,128,Positive,Not Contacted,High
Technology,Medium,Average,Low,Yes,Islamabad,2518000.0,294,No Response,Scheduled,Medium
Real Estate,Medium,Average,High,No,Peshawar,380000.0,90,Neutral,Scheduled,Low
Marketing,Large,Excellent,High,Yes,Faisalabad,724000.0,35,No Response,Scheduled,High
Real Estate,Large,Excellent,Medium,Yes,Multan,1125000.0,366,Positive,Scheduled,High
Technology,Small,Poor,High,Yes,Multan,225000.0,487,No Response,Not Contacted,Low
Technology,Small,Excellent,High,No,Karachi,4799000.0,8,No Response,Not Contacted,Low
Marketing,Large,Good,High,No,Multan,886000.0,198,Negative,Completed,High
Healthcare,Medium,Average,Low,Yes,Quetta,1544000.0,20,Neutral,Completed,Medium
Real Estate,Medium,Average,High,Yes,Quetta,1816000.0,40,No Response,Not Contacted,Low
Real Estate,Small,Average,High,Yes,Peshawar,3779000.0,113,No Response,Scheduled,Medium
Technology,Small,Excellent,Medium,Yes,Faisalabad,2490000.0,44,Neutral,Completed,High
Technology,Small,Good,Low,Yes,Faisalabad,5895000.0,315,Positive,Completed,High
Technology,Large,Excellent,Medium,Yes,Rawalpindi,2649000.0,349,Negative,Scheduled,High
Technology,Medium,Good,High,Yes,Rawalpindi,1044000.0,99,Neutral,Scheduled,High
Technology,Large,Average,High,Yes,Multan,1061000.0,33,No Response,Scheduled,Medium
Manufacturing,Small,Good,Medium,Yes,Lahore,8299000.0,42,Negative,Not Contacted,Low
Technology,Small,Excellent,High,Yes,Multan,1133000.0,150,Neutral,Completed,High
Retail,Medium,Average,Medium,Yes,Karachi,1023000.0,879,Positive,Not Contacted,High
Manufacturing,Medium,Good,Low,Yes,Quetta,1826000.0,1506,Neutral,Not Contacted,Low
Marketing,Medium,Excellent,High,Yes,Faisalabad,159000.0,49,,Completed,High
Marketing,Small,Average,High,Yes,Islamabad,4628000.0,118,Neutral,Not Contacted,Medium
Marketing,Small,Good,High,Yes,Multan,1727000.0,97,No Response,Not Scheduled,Medium
Marketing,Medium,Excellent,Low,Yes,Rawalpindi,267000.0,57,Neutral,Not Scheduled,Medium
Education,Small,Excellent,Medium,Yes,Lahore,564000.0,23,No Response,Scheduled,Medium
Technology,Medium,Excellent,Low,Yes,Rawalpindi,2223000.0,43,Positive,Completed,High
Marketing,Small,Excellent,Low,No,Karachi,859000.0,214,Positive,Not Contacted,Low
Finance,Medium,Average,,Yes,Islamabad,2752000.0,160,No Response,Scheduled,Medium
Finance,Large,Good,Low,Yes,Peshawar,1003000.0,91,No Response,Not Scheduled,Low
Manufacturing,Medium,Good,Low,Yes,Peshawar,2229000.0,64,Neutral,Scheduled,Medium
Finance,Small,Good,Medium,Yes,Islamabad,,888,Positive,Not Contacted,Medium
Healthcare,Large,Good,Low,Yes,Lahore,249000.0,36,No Response,Not Contacted,Low
Marketing,Small,Good,Medium,No,Quetta,1116000.0,16,Neutral,Not Contacted,Low
Education,Large,Average,Medium,Yes,Karachi,1725000.0,87,Negative,Not Scheduled,Medium
Healthcare,Small,Excellent,High,Yes,Karachi,2571000.0,121,No Response,Not Contacted,Medium
Education,Small,Poor,Low,No,Lahore,143000.0,361,Positive,Completed,Low
Healthcare,Large,Average,Medium,Yes,Karachi,384000.0,200,No Response,Not Contacted,Low
Retail,Medium,Good,Medium,Yes,Lahore,8935000.0,190,Neutral,Scheduled,High
Manufacturing,Small,Poor,Low,Yes,Multan,781000.0,116,Neutral,Not Contacted,Low
Marketing,Small,Good,Low,Yes,Lahore,665000.0,368,Neutral,Not Scheduled,Low
Retail,Medium,Excellent,High,Yes,Multan,1951000.0,116,No Response,Not Contacted,Medium
Finance,Small,Excellent,Medium,No,Karachi,566000.0,92,Neutral,Scheduled,Low
Real Estate,Medium,Good,Medium,Yes,Lahore,324000.0,38,,Not Scheduled,Medium
Finance,Small,Poor,Medium,Yes,Rawalpindi,1050000.0,81,Positive,Not Contacted,Low
Education,Medium,Good,Low,Yes,Multan,294000.0,56,Neutral,Not Scheduled,Low
Technology,Small,Good,Medium,No,Multan,1887000.0,112,No Response,Not Scheduled,Low
Retail,Large,Excellent,Medium,Yes,Faisalabad,1190000.0,194,Negative,Not Scheduled,Medium
Manufacturing,Small,Excellent,Low,Yes,Islamabad,1677000.0,75,Positive,Not Scheduled,Medium
Marketing,Small,Average,Medium,Yes,Lahore,6170000.0,27,Neutral,Not Contacted,Low
Manufacturing,Small,Average,Medium,Yes,Karachi,13522000.0,489,Neutral,Scheduled,Medium
Healthcare,Large,Good,High,No,Islamabad,23296000.0,201,Positive,Not Scheduled,High
Real Estate,Medium,Excellent,High,Yes,Multan,1108000.0,216,No Response,Scheduled,High
Marketing,Large,Average,Low,Yes,Faisalabad,1918000.0,73,Positive,Scheduled,High
Finance,Small,Poor,Medium,No,Islamabad,1163000.0,254,Neutral,Scheduled,Low
Marketing,Medium,Poor,High,Yes,Peshawar,1318000.0,238,,Not Scheduled,Low
Real Estate,Medium,Poor,Low,Yes,Faisalabad,1280000.0,328,Neutral,Not Scheduled,Low
Healthcare,Medium,Poor,High,Yes,Rawalpindi,936000.0,111,Positive,Not Scheduled,High
Healthcare,Small,Average,Low,No,Islamabad,480000.0,81,Positive,Not Scheduled,Low
Healthcare,Medium,Average,High,Yes,Islamabad,254000.0,40,Negative,Not Contacted,Low
Retail,Large,Good,High,Yes,Rawalpindi,,8,Positive,Not Scheduled,High
Retail,Large,,Medium,No,Faisalabad,5144000.0,242,Positive,Scheduled,High
Real Estate,Medium,Excellent,High,Yes,Faisalabad,1392000.0,109,Neutral,Not Contacted,Medium
Healthcare,Large,Good,Low,Yes,Karachi,692000.0,43,No Response,Not Scheduled,Medium
Manufacturing,Medium,Average,Medium,Yes,Quetta,574000.0,369,No Response,Not Scheduled,Low
Technology,Small,Good,Medium,Yes,Rawalpindi,418000.0,501,No Response,Scheduled,Medium
Healthcare,Large,Good,High,Yes,Lahore,8348000.0,266,No Response,Scheduled,High
Finance,Small,Average,Low,Yes,Quetta,1548000.0,93,Positive,Not Scheduled,Medium
Technology,Large,Good,Low,Yes,Faisalabad,3683000.0,73,Neutral,Scheduled,Medium
Healthcare,Small,Excellent,Low,Yes,Multan,369000.0,207,Positive,Scheduled,High
Retail,Large,Poor,Low,Yes,Peshawar,1094000.0,34,Positive,Not Scheduled,Low
Retail,Medium,Good,Medium,Yes,Karachi,319000.0,210,Neutral,Completed,High
